ingredient_name,canonical_name,afcd_food_key,afcd_food_name,afcd_match_score,nutrition_basis,energy_kj,energy_kcal,protein_g,fat_total_g,carbohydrates_g,sugars_g,fibre_g,sodium_mg,cpi_category,latest_cpi_period,latest_cpi_index,cpi_monthly_pct_change,cpi_annual_pct_change,foodkeeper_product_id,foodkeeper_name,foodkeeper_subtitle,expiry_match_score,pantry_min_days,pantry_max_days,refrigerate_min_days,refrigerate_max_days,freeze_min_days,freeze_max_days
dried currants,currant,F009880,"Currant, fresh",1.0,per_100_g,191.0,45.65,1.4,0.3,7.6,7.4,4.3,2.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,253,Berries,"blackberries, boysenberries, currant",0.93,,,3,6,360,360
dried curry leaves,curry leave,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried dates,date,F003496,"Date, dried",1.0,per_100_g,1212.0,289.68,2.0,0.2,67.2,65.9,9.7,14.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,260,Dates,,1.0,60,60,360,360,365,730
dried dill,dill,F003509,"Dill, fresh, raw",1.0,per_100_g,170.0,40.63,3.4,1.2,2.5,1.2,3.3,42.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried dill seed,dill seed,F003509,"Dill, fresh, raw",0.625,per_100_g,170.0,40.63,3.4,1.2,2.5,1.2,3.3,42.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried dill weed,dill weed,F003509,"Dill, fresh, raw",0.625,per_100_g,170.0,40.63,3.4,1.2,2.5,1.2,3.3,42.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried elderberries,elderberry,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried epazote,epazote,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried fava beans,fava bean,F000431,"Bean, green, fresh, raw",0.625,per_100_g,106.0,25.33,1.8,0.0,3.3,2.6,2.8,0.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,273,Beans and peas,"green, fava, lima, soybean, wax, snow, sugar snap",0.806,,,3,5,240,240
dried fennel,fennel,F003820,"Fennel, fresh, raw",1.0,per_100_g,92.0,21.99,1.0,0.1,3.3,3.3,1.8,38.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
